id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,track_id,popularity
25742,Shirim,Melody's Echo Chamber,rock,energetic,0.707,101.133,0.506,0.642,0.0456,1c2LdNIFXH6jQvpi5qq8sQ,46
25743,Coming Back to Life - Live,Pink Floyd,rock,moody,0.45,76.922,0.142,0.259,0.39,6JTYg0H6jvDMtpnP11NpE0,46
25744,Não Tem pra Ninguém - Ao Vivo,Jeito Moleque,latin,happy,0.546,90.905,0.653,0.58,0.0663,0SAfziCT0lBo13Q7Rb4kqQ,46
25745,Primeiro Beijo,Grupo Malícia,latin,energetic,0.753,121.809,0.672,0.661,0.207,2SD34xlDVD005M3Y0OgQiX,46
25746,Boca Favorita,Guga Nandes,latin,happy,0.518,143.985,0.572,0.639,0.673,0gIVnzZiTO3E78RrK1OUFK,46
25747,Little Room,The White Stripes,rock,energetic,0.738,173.406,0.705,0.456,0.00925,1ltf1XEP18QMCMRRQtFbAl,46
25748,Chant for Ezkaton 2000 E. V.,Behemoth,metal,intense,0.989,90.038,0.0536,0.505,7.45e-05,4zUU0VOduQFLb5iQhmaNDD,46
25749,Aur Tanha,"Pritam, KK",folk,moody,0.56,169.896,0.201,0.434,0.79,02J3mNwGfcOS7jjAUfzMgV,46
25750,I Hate That...,"Promoting Sounds, Jerome The Prince, SoLonely",emo,moody,0.491,159.027,0.237,0.633,0.0158,1t7CQpW5vmFxCMLMxl33Az,46
25751,Tera Deedar Hua - From the Heart,"Pritam, Javed Ali",folk,energetic,0.871,90.017,0.82,0.589,0.567,4W7pOUPJeuuo8hkklQtqu0,46
25752,Quando Fui Chuva / Fim de Tarde / Palpite - Ao Vivo,Marvvila,latin,moody,0.567,81.819,0.439,0.318,0.51,7L8el2whAetFXY6Zs2dph2,46
25753,The Gunner's Dream,Pink Floyd,rock,sad,0.284,132.667,0.169,0.428,0.687,1057KuzIH4fWCyI5Gb5kX2,46
25754,When Under Ether,PJ Harvey,rock,moody,0.385,205.079,0.331,0.33,0.875,6T74sWvcHvSAO5prlk5dDw,46
25755,Libera Eu,"Bokaloka, Di Propósito",latin,happy,0.664,151.994,0.907,0.663,0.819,5njxP9WGjvDKHOad9rxmpv,46
25756,Não Pensar Com o Coração - Ao Vivo,"Marvvila, Sorriso Maroto",latin,happy,0.623,141.97,0.613,0.559,0.777,5HuNRvirtnUnYwH8BI1f2G,46
25757,Ela Te Superou,Binho Simões,latin,moody,0.505,132.805,0.305,0.379,0.752,3regz8YOLRKDdZotDYSELQ,46
25758,Seja Bem Vinda,"Thiaguinho, Péricles",latin,happy,0.66,131.999,0.778,0.619,0.689,5eHjJV0VCEf8fLUSHC1Ecw,46
25759,Yeh Jo Halka Halka Suroor Hai,Nusrat Fateh Ali Khan,folk,moody,0.681,76.551,0.43,0.333,0.376,70BWIfaEgeZB0MJkUQmDqU,46
25760,Woh Din (Film Version),"Pritam, TUSHAR JOSHI",folk,happy,0.675,81.498,0.632,0.66,0.545,6Nqg57G2JkMimLblrb1TY5,46
25761,Neo-Spartacvs,Behemoth,metal,intense,0.978,66.121,0.34,0.148,2.24e-05,2RM6p5lHeqQswGVfOM2QBu,46
